;;;;;BTOP50 Index Historical Data ROR;;;;;;;
1991;2048.8296;2053.673;2168.9724;2181.5611;2129.6116;2190.6888;2150.2378;2139.4328;2234.4236;2201.8502;2234.0082;2471.3895
1992;2307.6154;2254.0349;2247.2052;2176.2991;2182.2143;2309.6229;2480.4541;2608.2025;2553.8502;2541.8113;2574.7074;2534.3978
1993;2511.4615;2684.1094;2671.1935;2755.9077;2790.329;2821.6058;2910.1393;2905.8992;2880.0629;2853.5663;2827.6245;2874.5659
1994;2785.5061;2725.6038;2782.5553;2759.3599;2817.8308;2915.7645;2857.7058;2772.2975;2800.7358;2825.1806;2863.8856;2845.2044
1995;2769.0952;2850.1494;3053.9465;3093.4554;3139.1303;3089.6733;3034.7327;3095.2908;3055.6339;3069.7907;3125.271;3240.6966
1996;3325.4052;3160.9107;3163.0728;3281.4919;3225.6475;3236.7276;3237.5076;3227.1282;3317.4006;3491.0566;3657.9326;3601.7284
1997;3715.0676;3808.3121;3818.4651;3776.355;3726.8848;3761.7722;3948.7134;3829.2096;3853.1574;3849.9362;3910.8807;3992.5712
1998;4025.7774;3976.997;4050.4681;3923.7735;4014.1145;4024.8683;4031.4409;4254.7384;4450.4648;4531.1072;4423.3167;4518.7763
1999;4428.0709;4534.9646;4505.129;4618.8205;4575.907;4715.3441;4638.3283;4684.2849;4683.7415;4510.0871;4579.9664;4592.7766
2000;4625.4037;4537.5672;4423.4928;4310.6053;4321.1188;4245.9573;4190.3777;4207.0303;4087.639;4171.3742;4458.0895;4896.1057
2001;4927.2449;4933.8376;5188.2509;4970.526;4995.309;4952.739;4928.9411;5029.7971;5156.5832;5354.4825;4981.6767;5083.5868
2002;5058.2451;4913.0027;4923.266;4838.6596;4979.6775;5342.8703;5534.1504;5653.9869;5845.7306;5608.5576;5464.5298;5779.172
2003;6080.7234;6421.8641;6049.6465;6147.2757;6487.4413;6330.7047;6216.4355;6340.1861;6309.2206;6458.3075;6430.5109;6677.6419
2004;6724.8862;6988.1991;6930.1202;6633.3517;6542.6671;6364.4187;6300.3036;6224.6243;6243.4102;6433.7406;6697.9679;6735.0679
2005;6542.1015;6606.5347;6619.4967;6475.0924;6568.6963;6700.3395;6683.9438;6683.1016;6805.3289;6816.3875;7001.2616;6921.2022
2006;6998.2075;6957.079;7104.9865;7277.9503;7151.4741;7072.3716;6974.3839;6945.9493;6925.7436;7010.5978;7160.1759;7309.2364
2007;7390.8441;7270.5433;7190.531;7359.8464;7551.3496;7680.1832;7588.3205;7376.4849;7632.567;7817.0767;7808.0949;7862.6344
