"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 11-Mar-2014",700.16,629.67,640.33,,21.78,19.58,19.92,
"00:00:00 09-Feb-2014",712.98,641.31,670.39,,22.18,19.95,20.85,
"00:00:00 10-Jan-2014",662.45,611.68,644.45,,20.60,19.03,20.04,
"00:00:00 11-Dec-2013",658.58,602.94,630.09,,20.48,18.75,19.60,
"00:00:00 11-Nov-2013",690.45,607.82,655.65,,21.48,18.91,20.39,
"00:00:00 12-Oct-2013",742.43,660.01,689.04,,23.09,20.53,21.43,
"00:00:00 12-Sep-2013",752.91,664.03,686.39,,23.42,20.65,21.35,
"00:00:00 13-Aug-2013",807.76,680.57,744.76,,25.12,21.17,23.16,
"00:00:00 14-Jul-2013",690.60,617.68,685.73,,21.48,19.21,21.33,
"00:00:00 14-Jun-2013",723.02,586.35,641.76,,22.49,18.24,19.96,
"00:00:00 15-May-2013",756.17,651.33,702.28,,23.52,20.26,21.84,
"00:00:00 15-Apr-2013",839.73,710.49,755.50,,26.12,22.10,23.50,
"00:00:00 16-Mar-2013",943.28,831.97,836.46,,29.34,25.88,26.02,
"00:00:00 14-Feb-2013",1000.35,899.28,925.92,,31.11,27.97,28.80,
"00:00:00 15-Jan-2013",1043.91,986.20,990.41,,32.47,30.67,30.81,
"00:00:00 16-Dec-2012",1047.29,940.55,1000.13,,32.57,29.25,31.11,
"00:00:00 16-Nov-2012",1106.44,1031.99,1038.12,,34.41,32.10,32.29,
"00:00:00 17-Oct-2012",1072.37,986.64,1049.50,,33.35,30.69,32.64,
"00:00:00 17-Sep-2012",1137.46,1048.15,1065.44,,35.38,32.60,33.14,
"00:00:00 18-Aug-2012",1123.74,899.88,1117.67,,34.95,27.99,34.76,
"00:00:00 19-Jul-2012",915.31,857.53,903.42,,28.47,26.67,28.10,
"00:00:00 19-Jun-2012",932.35,841.81,874.61,,29.00,26.18,27.20,
"00:00:00 20-May-2012",963.22,873.38,925.81,,29.96,27.17,28.80,
"00:00:00 20-Apr-2012",1027.68,865.05,924.79,,31.96,26.91,28.76,
"00:00:00 21-Mar-2012",1070.92,998.06,1020.60,,33.31,31.04,31.74,
"00:00:00 20-Feb-2012",1205.09,1017.59,1031.69,,37.48,31.65,32.09,
"00:00:00 21-Jan-2012",1110.79,1015.78,1081.40,,34.55,31.59,33.64,
"00:00:00 22-Dec-2011",1036.52,843.61,1036.36,,32.24,26.24,32.23,
"00:00:00 22-Nov-2011",1082.65,904.86,943.42,,33.67,28.14,29.34,
"00:00:00 23-Oct-2011",1146.95,987.00,1013.53,,35.67,30.70,31.52,
"00:00:00 23-Sep-2011",1177.98,841.18,1009.19,,36.64,26.16,31.39,
"00:00:00 24-Aug-2011",1395.63,1144.41,1166.06,,43.41,35.60,36.27,
"00:00:00 25-Jul-2011",1420.44,1192.67,1357.56,,44.18,37.10,42.22,
"00:00:00 25-Jun-2011",1315.10,1074.61,1301.41,,40.90,33.42,40.48,
"00:00:00 26-May-2011",1249.67,1099.85,1103.55,,38.87,34.21,34.32,
"00:00:00 26-Apr-2011",1594.16,1043.05,1218.14,,49.58,32.44,37.89,
"00:00:00 27-Mar-2011",1595.69,1172.81,1493.96,,49.63,36.48,46.47,
"00:00:00 25-Feb-2011",1228.61,1041.34,1201.12,,38.21,32.39,37.36,
"00:00:00 26-Jan-2011",1104.36,850.29,1043.42,,34.35,26.45,32.45,
"00:00:00 27-Dec-2010",1005.65,854.87,863.97,,31.28,26.59,26.87,
"00:00:00 27-Nov-2010",987.97,852.29,928.38,,30.73,26.51,28.88,
"00:00:00 28-Oct-2010",943.14,755.20,859.69,,29.33,23.49,26.74,
"00:00:00 28-Sep-2010",801.21,677.92,762.45,,24.92,21.09,23.71,
"00:00:00 29-Aug-2010",696.69,605.70,684.15,,21.67,18.84,21.28,
