"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 05-Jan-2015",42008.89,38050.41,40562.99,,1306.62,1183.50,1261.65,
"00:00:00 06-Dec-2014",39809.05,37589.05,38050.41,,1238.20,1169.15,1183.50,
"00:00:00 06-Nov-2014",39259.28,36751.52,38333.34,,1221.10,1143.10,1192.30,
"00:00:00 07-Oct-2014",40351.12,36592.05,36767.43,,1255.06,1138.14,1143.59,
"00:00:00 07-Sep-2014",40889.48,38045.26,38795.66,,1271.80,1183.34,1206.68,
"00:00:00 08-Aug-2014",42521.02,40426.35,40796.78,,1322.55,1257.40,1268.92,
"00:00:00 09-Jul-2014",43241.95,41175.04,42158.95,,1344.97,1280.69,1311.29,
"00:00:00 09-Jun-2014",42835.56,40201.45,42380.99,,1332.33,1250.40,1318.20,
"00:00:00 10-May-2014",42083.37,39904.98,40323.59,,1308.94,1241.18,1254.20,
"00:00:00 10-Apr-2014",42792.73,40797.57,41436.20,,1331.00,1268.95,1288.81,
"00:00:00 11-Mar-2014",44762.18,41087.25,42156.23,,1392.26,1277.96,1311.21,
"00:00:00 09-Feb-2014",43558.10,40680.15,43099.54,,1354.81,1265.29,1340.55,
"00:00:00 10-Jan-2014",41102.82,39471.17,40743.03,,1278.44,1227.69,1267.25,
"00:00:00 11-Dec-2013",40607.76,38074.12,39514.78,,1263.04,1184.24,1229.05,
"00:00:00 11-Nov-2013",41611.91,38966.30,40553.42,,1294.28,1211.99,1261.35,
"00:00:00 12-Oct-2013",43785.62,40257.56,41395.37,,1361.89,1252.15,1287.54,
"00:00:00 12-Sep-2013",44212.42,40609.45,40941.47,,1375.16,1263.10,1273.42,
"00:00:00 13-Aug-2013",46096.29,42327.42,43893.32,,1433.75,1316.53,1365.23,
"00:00:00 14-Jul-2013",43356.09,40856.53,42868.36,,1348.53,1270.78,1333.36,
"00:00:00 14-Jun-2013",44764.77,37975.02,41363.11,,1392.34,1181.16,1286.54,
"00:00:00 15-May-2013",45988.29,43051.54,44562.74,,1430.40,1339.05,1386.06,
"00:00:00 15-Apr-2013",48087.77,42513.05,45988.29,,1495.70,1322.30,1430.40,
"00:00:00 16-Mar-2013",51980.75,47543.90,47914.03,,1616.78,1478.78,1490.29,
"00:00:00 14-Feb-2013",53038.02,50045.66,51191.48,,1649.67,1556.59,1592.23,
"00:00:00 15-Jan-2013",54530.89,52775.90,52834.70,,1696.10,1641.51,1643.34,
"00:00:00 16-Dec-2012",54768.49,52367.15,53646.23,,1703.49,1628.80,1668.58,
